location,new_cases,new_deaths,total_cases,total_deaths
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,0,0,0,0
India,1,0,1,0
India,0,0,1,0
India,0,0,1,0
India,1,0,2,0
India,0,0,2,0
India,1,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,0,0,3,0
India,2,0,5,0
India,1,0,6,0
India,22,0,28,0
India,1,0,29,0
India,2,0,31,0
India,3,0,34,0
India,10,0,44,0
India,6,0,50,0
India,23,0,73,0
India,2,1,75,1
India,8,1,83,2
India,7,0,90,2
India,3,0,93,2
India,32,1,125,3
India,12,0,137,3
India,28,0,165,3
India,26,1,191,4
India,40,0,231,4
India,89,0,320,4
India,119,3,439,7
India,53,2,492,9
India,70,0,562,9
India,87,4,649,13
India,75,4,724,17
India,149,2,873,19
India,106,6,979,25
India,92,4,1071,29
India,180,3,1251,32
India,146,3,1397,35
India,568,15,1965,50
India,336,6,2301,56
India,601,12,2902,68
India,472,9,3374,77
India,693,32,4067,109
India,354,5,4421,114
India,773,35,5194,149
India,540,17,5734,166
India,678,33,6412,199
India,1035,40,7447,239
India,909,34,8356,273
India,796,35,9152,308
India,1211,31,10363,339
India,1075,38,11438,377
India,942,37,12380,414
India,1007,23,13387,437
India,991,43,14378,480
India,1334,27,15712,507
India,1553,36,17265,543
India,1335,47,18600,590
India,1384,50,19984,640
India,1409,41,21393,681
India,1684,37,23077,718
India,1429,57,24506,775
India,1990,49,26496,824
India,1396,48,27892,872
India,1543,62,29435,934
India,1897,73,31332,1007
India,1718,67,33050,1074
India,1993,73,35043,1147
India,2293,71,37336,1218
India,2644,83,39980,1301
India,2553,72,42533,1373
India,3900,195,46433,1568
India,2958,126,49391,1694
India,3561,89,52952,1783
India,3390,103,56342,1886
India,3320,95,59662,1981
India,3277,128,62939,2109
India,4213,97,67152,2206
India,3604,87,70756,2293
India,3525,122,74281,2415
India,3722,134,78003,2549
India,3967,100,81970,2649
India,3970,103,85940,2752
India,4987,120,90927,2872
India,5242,157,96169,3029
India,4970,134,101139,3163
India,5611,140,106750,3303
India,5609,132,112359,3435
India,6088,148,118447,3583
India,6654,137,125101,3720
India,6767,147,131868,3867
India,6977,154,138845,4021
India,6535,146,145380,4167
India,6387,170,151767,4337
India,6566,194,158333,4531
India,7466,175,165799,4706
India,7964,265,173763,4971
India,8380,193,182143,5164
India,8392,230,190535,5394
India,8171,204,198706,5598
India,8909,217,207615,5815
